# PyATRAC1 Debug Log - 2025-06-11 13:45:08
# Format: [TIMESTAMP][IMPL][FILE:LINE][FUNC][CH{n}][FR{nnn}][BAND_{name}] STAGE: data_type=values |META: ... |SRC: ...
#
[2025-06-11T13:45:08.827955][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF1] QMF_BUTTERFLY: J4=[-0.877195,0.000020] |META: size=2 range=[-0.877195,0.000020] sum=-0.877175 mean=-0.438588 nonzero=2 |SRC:
[2025-06-11T13:45:08.828043][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF1] QMF_RAW_TAPS: J6=[-0.393965,-0.393985] |META: size=2 range=[-0.393985,-0.393965] sum=-0.787950 mean=-0.393975 nonzero=2 |SRC:
[2025-06-11T13:45:08.828128][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF1] QMF_BUTTERFLY: J6=[-0.787950,0.000020] |META: size=2 range=[-0.787950,0.000020] sum=-0.787930 mean=-0.393965 nonzero=2 |SRC:
[2025-06-11T13:45:08.833756][PYTRAC][qmf.py:103][analysis][CH0][FR001][BAND_QMF1] QMF_FINAL_LOWER: SAMPLES=[-1.049134,-0.964326,-0.877195,-0.787950,-0.696808...-0.024542,0.073611,0.171587,0.269150,0.366064] |META: size=16 range=[-1.049134,0.366064] sum=-5.708217 mean=-0.356764 nonzero=16 |SRC:
[2025-06-11T13:45:08.833879][PYTRAC][qmf.py:104][analysis][CH0][FR001][BAND_QMF1] QMF_FINAL_UPPER: SAMPLES=[0.000019,0.000019,0.000020,0.000020,0.000020...0.000022,0.000022,0.000022,0.000022,0.000021] |META: size=16 range=[0.000019,0.000022] sum=0.000335 mean=0.000021 nonzero=16 |SRC:
[2025-06-11T13:45:08.833997][PYTRAC][qmf.py:105][analysis][CH0][FR001][BAND_QMF1] QMF_STATS: RANGE=[-1.999763,1.999763,-0.000022,0.000022] |META: size=4 range=[-1.999763,1.999763] sum=0.000000 mean=0.000000 nonzero=4 |SRC:
[2025-06-11T13:45:08.834162][PYTRAC][qmf.py:222][analysis][CH0][FR001][BAND_FULL] QMF1_MIDLOW_OUT: SAMPLES=[-1.049134,-0.964326,-0.877195,-0.787950,-0.696808...-1.431400,-1.361144,-1.287608,-1.210970,-1.131415] |META: size=256 range=[-1.999763,1.999763] sum=0.000002 mean=0.000000 nonzero=256 |SRC: qmf_operation=qmf1_output
[2025-06-11T13:45:08.834271][PYTRAC][qmf.py:223][analysis][CH0][FR001][BAND_FULL] QMF1_HIGH_DELAYED: SAMPLES=[0.000019,0.000019,0.000020,0.000020,0.000020...0.000015,0.000016,0.000017,0.000017,0.000018] |META: size=256 range=[-0.000022,0.000022] sum=0.000000 mean=0.000000 nonzero=256 |SRC: qmf_operation=qmf1_delayed
[2025-06-11T13:45:08.834471][PYTRAC][qmf.py:67][analysis][CH0][FR001][BAND_QMF2] QMF_INPUT: SAMPLES=[-1.049134,-0.964326,-0.877195,-0.787950,-0.696808...-0.024542,0.073611,0.171587,0.269150,0.366064] |META: size=16 range=[-1.049134,0.366064] sum=-5.708217 mean=-0.356764 nonzero=16 |SRC:
[2025-06-11T13:45:08.834570][PYTRAC][qmf.py:72][analysis][CH0][FR001][BAND_QMF2] QMF_BUFFER_SHIFT: OLD_TO_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000] |META: size=8 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=0 |SRC:
[2025-06-11T13:45:08.834664][PYTRAC][qmf.py:76][analysis][CH0][FR001][BAND_QMF2] QMF_BUFFER_FILLED: TOTAL=[-0.650593,-0.742602,-0.832823,-0.921038,-1.007034...0.171587,0.269150,0.366064,0.462096,0.557015] |META: size=64 range=[-1.999763,0.557015] sum=-77.686829 mean=-1.213857 nonzero=64 |SRC:
[2025-06-11T13:45:08.834810][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF2] QMF_RAW_TAPS: J0=[-1.992518,-1.992512] |META: size=2 range=[-1.992518,-1.992512] sum=-3.985031 mean=-1.992515 nonzero=2 |SRC:
[2025-06-11T13:45:08.834900][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF2] QMF_BUTTERFLY: J0=[-3.985031,-0.000006] |META: size=2 range=[-3.985031,-0.000006] sum=-3.985037 mean=-1.992518 nonzero=2 |SRC:
[2025-06-11T13:45:08.835017][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF2] QMF_RAW_TAPS: J2=[-1.999739,-1.999740] |META: size=2 range=[-1.999740,-1.999739] sum=-3.999478 mean=-1.999739 nonzero=2 |SRC:
[2025-06-11T13:45:08.835095][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF2] QMF_BUTTERFLY: J2=[-3.999478,0.000001] |META: size=2 range=[-3.999478,0.000001] sum=-3.999477 mean=-1.999739 nonzero=2 |SRC:
[2025-06-11T13:45:08.835213][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF2] QMF_RAW_TAPS: J4=[-1.987700,-1.987708] |META: size=2 range=[-1.987708,-1.987700] sum=-3.975409 mean=-1.987704 nonzero=2 |SRC:
[2025-06-11T13:45:08.835348][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF2] QMF_BUTTERFLY: J4=[-3.975409,0.000008] |META: size=2 range=[-3.975409,0.000008] sum=-3.975401 mean=-1.987700 nonzero=2 |SRC:
[2025-06-11T13:45:08.835465][PYTRAC][qmf.py:88][analysis][CH0][FR001][BAND_QMF2] QMF_RAW_TAPS: J6=[-1.956519,-1.956535] |META: size=2 range=[-1.956535,-1.956519] sum=-3.913054 mean=-1.956527 nonzero=2 |SRC:
[2025-06-11T13:45:08.835546][PYTRAC][qmf.py:100][analysis][CH0][FR001][BAND_QMF2] QMF_BUTTERFLY: J6=[-3.913054,0.000015] |META: size=2 range=[-3.913054,0.000015] sum=-3.913039 mean=-1.956519 nonzero=2 |SRC:
[2025-06-11T13:45:08.838213][PYTRAC][qmf.py:103][analysis][CH0][FR001][BAND_QMF2] QMF_FINAL_LOWER: SAMPLES=[-3.985031,-3.999478,-3.975409,-3.913054,-3.813014...-2.181180,-1.842053,-1.485187,-1.114017,-0.732119] |META: size=16 range=[-3.999478,-0.732119] sum=-45.872208 mean=-2.867013 nonzero=16 |SRC:
